 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_DD    ss_DD   sigt 
 # ------------------------------------------------------------------------------------------------------------- 
6.250E-05 3.71E-01 3.52E-01 4.08E-04 2.81E-01 1.87E-02 9.52E-07 2.48E-02 3.50E-06 4.71E-03 3.77E-02 5.85E-02 1.149E+00
6.200E-05 3.76E-01 3.56E-01 4.16E-04 2.87E-01 1.90E-02 9.82E-07 2.50E-02 3.61E-06 4.80E-03 3.78E-02 5.82E-02 1.164E+00
6.100E-05 3.86E-01 3.63E-01 4.35E-04 2.98E-01 1.94E-02 1.05E-06 2.54E-02 3.86E-06 4.99E-03 3.81E-02 5.76E-02 1.193E+00
6.000E-05 3.96E-01 3.71E-01 4.54E-04 3.10E-01 1.99E-02 1.12E-06 2.58E-02 4.13E-06 5.20E-03 3.83E-02 5.70E-02 1.223E+00
5.900E-05 4.07E-01 3.78E-01 4.75E-04 3.22E-01 2.04E-02 1.19E-06 2.62E-02 4.41E-06 5.41E-03 3.86E-02 5.63E-02 1.255E+00
5.800E-05 4.19E-01 3.85E-01 4.97E-04 3.35E-01 2.09E-02 1.28E-06 2.66E-02 4.73E-06 5.64E-03 3.88E-02 5.56E-02 1.287E+00
5.700E-05 4.31E-01 3.92E-01 5.20E-04 3.49E-01 2.14E-02 1.37E-06 2.71E-02 5.07E-06 5.89E-03 3.91E-02 5.48E-02 1.320E+00
5.600E-05 4.43E-01 3.98E-01 5.43E-04 3.63E-01 2.20E-02 1.46E-06 2.75E-02 5.45E-06 6.15E-03 3.93E-02 5.41E-02 1.354E+00
5.500E-05 4.56E-01 4.04E-01 5.67E-04 3.78E-01 2.25E-02 1.57E-06 2.80E-02 5.86E-06 6.43E-03 3.96E-02 5.33E-02 1.389E+00
5.477E-05 4.59E-01 4.06E-01 5.73E-04 3.81E-01 2.27E-02 1.60E-06 2.81E-02 5.96E-06 9.73E-03 3.96E-02 5.31E-02 1.400E+00
5.400E-05 4.70E-01 4.10E-01 5.91E-04 3.93E-01 2.32E-02 1.69E-06 2.85E-02 6.31E-06 1.01E-02 3.98E-02 5.25E-02 1.428E+00
5.300E-05 4.84E-01 4.15E-01 6.23E-04 4.09E-01 2.39E-02 1.83E-06 2.90E-02 6.81E-06 1.06E-02 4.00E-02 5.17E-02 1.464E+00
5.200E-05 4.98E-01 4.20E-01 6.57E-04 4.26E-01 2.47E-02 1.97E-06 2.95E-02 7.36E-06 1.12E-02 4.02E-02 5.09E-02 1.502E+00
5.100E-05 5.13E-01 4.25E-01 6.93E-04 4.43E-01 2.54E-02 2.13E-06 3.01E-02 7.96E-06 1.19E-02 4.04E-02 5.01E-02 1.540E+00
