 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_DD    emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.36E+01  3.19E-18  2.15E-35  0.00E+00  1.14E-37  0.00E+00  2.99E-19  2.05E-18  8.36E-19  7.38E-18
  1.35E+01  3.26E-18  1.42E-35  0.00E+00  7.34E-38  0.00E+00  2.95E-19  2.07E-18  8.92E-19  7.35E-18
  1.34E+01  3.35E-18  9.36E-36  0.00E+00  4.69E-38  0.00E+00  2.91E-19  2.10E-18  9.65E-19  7.32E-18
  1.33E+01  3.53E-18  6.11E-36  0.00E+00  2.97E-38  0.00E+00  2.87E-19  2.12E-18  1.12E-18  7.29E-18
  1.32E+01  3.81E-18  0.00E+00  0.00E+00  1.87E-38  0.00E+00  2.84E-19  2.15E-18  1.37E-18  7.27E-18
  1.31E+01  4.25E-18  0.00E+00  0.00E+00  1.17E-38  0.00E+00  2.80E-19  2.18E-18  1.79E-18  7.24E-18
  1.29E+01  6.19E-18  0.00E+00  0.00E+00  4.43E-39  0.00E+00  2.73E-19  2.25E-18  3.67E-18  7.18E-18
  1.28E+01  7.93E-18  0.00E+00  0.00E+00  2.70E-39  0.00E+00  2.70E-19  2.29E-18  5.37E-18  7.15E-18
  1.27E+01  9.08E-18  0.00E+00  0.00E+00  1.64E-39  0.00E+00  2.67E-19  2.33E-18  6.48E-18  7.12E-18
  1.26E+01  8.22E-18  0.00E+00  0.00E+00  9.84E-40  0.00E+00  2.64E-19  2.38E-18  5.58E-18  7.09E-18
  1.25E+01  6.79E-18  0.00E+00  0.00E+00  5.86E-40  0.00E+00  2.60E-19  2.42E-18  4.11E-18  7.06E-18
  1.22E+01  6.00E-18  0.00E+00  0.00E+00  1.19E-40  0.00E+00  2.51E-19  2.55E-18  3.20E-18  6.97E-18
  1.21E+01  6.52E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.48E-19  2.60E-18  3.67E-18  6.91E-18
  1.20E+01  6.95E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.45E-19  2.66E-18  4.05E-18  6.85E-18
  1.19E+01  7.00E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.42E-19  2.72E-18  4.04E-18  6.80E-18
