 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.160E-05 2.38E-01 1.69E-01 8.97E-01 7.77E-01 2.70E-01 1.67E-03 2.41E+00 7.57E-03 3.88E-02 6.64E-02 8.14E-02 4.952E+00
1.140E-05 2.37E-01 1.69E-01 8.97E-01 7.78E-01 2.98E-01 1.96E-03 2.54E+00 8.23E-03 4.29E-02 6.62E-02 8.15E-02 5.119E+00
1.110E-05 2.36E-01 1.68E-01 8.96E-01 7.79E-01 3.41E-01 2.57E-03 2.77E+00 9.39E-03 5.08E-02 6.56E-02 8.13E-02 5.396E+00
1.080E-05 2.34E-01 1.68E-01 8.95E-01 7.80E-01 4.59E-01 3.42E-03 3.04E+00 1.08E-02 6.14E-02 6.50E-02 8.11E-02 5.795E+00
1.050E-05 2.32E-01 1.67E-01 8.94E-01 7.82E-01 6.12E-01 4.44E-03 3.37E+00 1.27E-02 7.58E-02 6.45E-02 8.13E-02 6.298E+00
1.030E-05 2.31E-01 1.67E-01 8.93E-01 7.83E-01 7.31E-01 5.08E-03 3.68E+00 1.41E-02 8.82E-02 6.40E-02 8.12E-02 6.742E+00
1.000E-05 2.29E-01 1.66E-01 8.90E-01 7.85E-01 8.96E-01 6.20E-03 4.13E+00 1.62E-02 1.12E-01 6.36E-02 8.12E-02 7.380E+00
9.750E-06 2.27E-01 1.66E-01 8.88E-01 7.87E-01 1.09E+00 7.70E-03 4.50E+00 1.80E-02 1.35E-01 6.31E-02 8.09E-02 7.956E+00
9.500E-06 2.25E-01 1.65E-01 8.85E-01 7.89E-01 1.31E+00 9.11E-03 4.88E+00 2.00E-02 1.59E-01 6.29E-02 8.09E-02 8.587E+00
9.250E-06 2.23E-01 1.64E-01 8.82E-01 7.90E-01 1.48E+00 1.02E-02 5.28E+00 2.20E-02 1.77E-01 6.24E-02 8.05E-02 9.164E+00
9.080E-06 2.22E-01 1.64E-01 8.79E-01 7.92E-01 1.58E+00 1.09E-02 5.50E+00 2.31E-02 1.81E-01 6.23E-02 8.03E-02 9.494E+00
