 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  9.40E+00  2.73E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.73E-15  2.16E-14  1.99E-15  5.37E-18
  9.20E+00  2.48E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.61E-15  1.91E-14  2.11E-15  5.25E-18
  8.90E+00  2.03E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.43E-15  1.39E-14  3.02E-15  5.08E-18
  8.70E+00  2.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.31E-15  1.10E-14  6.61E-15  4.97E-18
  8.60E+00  2.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.25E-15  9.80E-15  9.90E-15  4.91E-18
  8.50E+00  1.90E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.19E-15  8.79E-15  7.06E-15  4.85E-18
  8.40E+00  1.60E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.14E-15  7.81E-15  5.07E-15  4.80E-18
  8.20E+00  1.38E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.02E-15  5.70E-15  5.11E-15  4.68E-18
  8.00E+00  1.40E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.91E-15  3.69E-15  7.36E-15  4.57E-18
  7.90E+00  1.50E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.85E-15  3.02E-15  9.12E-15  4.51E-18
  7.80E+00  1.60E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.79E-15  2.39E-15  1.08E-14  4.45E-18
  7.70E+00  1.62E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.73E-15  1.91E-15  1.16E-14  4.40E-18
  7.60E+00  1.49E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.67E-15  1.58E-15  1.07E-14  4.34E-18
  7.50E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.61E-15  1.29E-15  8.79E-15  4.28E-18
  7.30E+00  8.93E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.50E-15  1.02E-15  5.41E-15  4.10E-18
  7.20E+00  7.89E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.44E-15  9.56E-16  4.49E-15  3.98E-18
  7.10E+00  7.65E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.38E-15  9.01E-16  4.36E-15  3.86E-18
  7.00E+00  9.18E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.33E-15  8.67E-16  5.98E-15  3.75E-18
  6.90E+00  6.61E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.27E-15  8.37E-16  3.51E-15  3.63E-18
  6.80E+00  5.74E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.21E-15  8.13E-16  2.71E-15  3.52E-18
  6.60E+00  5.41E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.10E-15  7.66E-16  2.55E-15  3.31E-18
  6.40E+00  6.47E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.99E-15  7.20E-16  3.76E-15  3.11E-18
  6.30E+00  8.39E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.90E-15  6.96E-16  5.79E-15  3.01E-18
  6.20E+00  1.03E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.88E-15  6.73E-16  7.75E-15  2.92E-18
  6.10E+00  8.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.82E-15  6.48E-16  5.56E-15  2.82E-18
  5.90E+00  4.76E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.71E-15  6.01E-16  2.45E-15  2.64E-18
  5.50E+00  3.95E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.49E-15  5.24E-16  1.94E-15  2.31E-18
  5.30E+00  4.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.38E-15  4.94E-16  2.94E-15  2.15E-18
  5.20E+00  6.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-15  4.80E-16  4.52E-15  2.08E-18
  5.10E+00  7.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.27E-15  4.67E-16  6.09E-15  2.01E-18
  5.00E+00  5.98E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.22E-15  4.55E-16  4.31E-15  1.94E-18
  4.80E+00  3.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.11E-15  4.34E-16  1.95E-15  1.80E-18
  4.50E+00  2.76E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.60E-16  4.07E-16  1.39E-15  1.61E-18
  4.00E+00  2.38E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.24E-16  3.66E-16  1.29E-15  1.78E-18
  3.80E+00  2.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.37E-16  3.49E-16  1.32E-15  1.84E-18
  3.60E+00  2.32E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.56E-16  3.30E-16  1.44E-15  1.91E-18
  3.40E+00  3.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.80E-16  3.10E-16  2.54E-15  1.96E-18
  3.30E+00  6.84E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.44E-16  2.99E-16  6.10E-15  1.99E-18
  3.20E+00  2.97E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.10E-16  2.87E-16  2.28E-15  2.02E-18
  3.15E+00  2.37E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.93E-16  2.80E-16  1.70E-15  2.03E-18
  3.10E+00  2.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.76E-16  2.74E-16  1.45E-15  2.04E-18
  3.08E+00  2.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.70E-16  2.71E-16  1.39E-15  2.05E-18
  3.05E+00  1.95E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.60E-16  2.68E-16  1.32E-15  2.05E-18
  3.00E+00  1.85E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.45E-16  2.61E-16  1.25E-15  2.07E-18
  2.90E+00  1.72E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.14E-16  2.48E-16  1.16E-15  2.09E-18
  2.80E+00  1.62E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.85E-16  2.35E-16  1.10E-15  2.10E-18
  2.60E+00  1.45E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.30E-16  2.06E-16  1.01E-15  2.25E-18
  2.50E+00  1.36E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.05E-16  1.91E-16  9.63E-16  2.38E-18
  2.20E+00  1.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.36E-16  1.44E-16  8.09E-16  2.81E-18
  2.16E+00  1.05E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.27E-16  1.38E-16  7.86E-16  2.87E-18
  2.00E+00  9.00E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.71E-17  1.12E-16  6.90E-16  3.10E-18
  1.66E+00  5.75E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.60E-17  6.12E-17  4.68E-16  3.58E-18
  1.65E+00  5.64E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.45E-17  5.95E-17  4.60E-16  3.59E-18
  1.25E+00  2.27E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.06E-17  1.65E-17  2.00E-16  3.44E-18
  1.23E+00  2.17E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.82E-18  1.55E-17  1.92E-16  3.42E-18
  1.13E+00  1.50E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.58E-18  9.14E-18  1.35E-16  3.31E-18
  1.00E+00  8.37E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.34E-18  3.99E-18  7.74E-17  3.14E-18
  9.50E-01  6.37E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.56E-18  2.71E-18  5.94E-17  3.03E-18
  9.30E-01  5.66E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.31E-18  2.29E-18  5.30E-17  2.99E-18
  9.20E-01  5.32E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.20E-18  2.10E-18  4.99E-17  2.97E-18
  9.10E-01  4.99E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.09E-18  1.92E-18  4.69E-17  2.94E-18
  9.00E-01  4.68E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.93E-19  1.75E-18  4.41E-17  2.92E-18
  8.90E-01  4.38E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.01E-19  1.60E-18  4.13E-17  2.90E-18
  8.80E-01  4.09E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.16E-19  1.45E-18  3.86E-17  2.87E-18
  8.70E-01  3.81E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.37E-19  1.31E-18  3.61E-17  2.85E-18
  8.60E-01  3.55E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.64E-19  1.19E-18  3.36E-17  2.83E-18
  8.50E-01  3.30E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.96E-19  1.07E-18  3.13E-17  2.80E-18
  8.40E-01  3.05E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.34E-19  9.63E-19  2.91E-17  2.78E-18
