 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  4.50E+00  2.76E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E+00  2.38E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.80E+00  2.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.60E+00  2.32E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.40E+00  3.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.30E+00  6.84E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.20E+00  2.97E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.15E+00  2.37E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.10E+00  2.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.08E+00  2.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.05E+00  1.95E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E+00  1.85E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.90E+00  1.72E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.80E+00  1.62E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.60E+00  1.45E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E+00  1.36E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.20E+00  1.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.16E+00  1.05E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E+00  9.00E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.66E+00  5.75E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.65E+00  5.64E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E+00  2.27E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.23E+00  2.17E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.13E+00  1.50E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E+00  8.37E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-01  6.37E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.30E-01  5.66E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E-01  5.32E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.10E-01  4.99E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.00E-01  4.68E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E-01  4.38E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.80E-01  4.09E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E-01  3.81E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E-01  3.55E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E-01  3.30E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E-01  3.05E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.33E-01  2.89E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E-01  2.61E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.10E-01  2.40E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E-01  2.21E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E-01  2.02E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E-01  1.85E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E-01  1.68E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E-01  1.53E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
